Article Number,Product Name,Category,Price (MKD),Has Image
30762,LED-CL 285X285 black 4000K 'FUEVA 5',Внатрешно осветлување,2.54,Yes
30832,WL/1 chrome black-chrome 'DAVIDA 1',Внатрешно осветлување,1.49,Yes
30833,2-light chrome black-chrome 'DAVIDA 1',Сијалици,2.74,Yes
30834,3-light chrome black-chrome 'DAVIDA 1',Сијалици,3.89,Yes
30835,4-light chrome black-chrome 'DAVIDA 1',Сијалици,5.02,Yes
30891,LED-CL Ø285 white 4000K 'FUEVA 5',Внатрешно осветлување,2.54,Yes
30892,LED-CL Ø285 chrome 4000K 'FUEVA 5',Внатрешно осветлување,2.68,Yes
30893,LED-CL 285X285 white 4000K 'FUEVA 5',Внатрешно осветлување,2.36,Yes
30894,LED-CL 285X285 chrome 4000K 'FUEVA 5',Внатрешно осветлување,2.68,Yes
30931,CL/4 GU10-LED chrome/satined 'CABO',Внатрешно осветлување,3.08,Yes
31001,WL/1 GU10-LED white/chrome 'BIMEDA',Внатрешно осветлување,1.12,Yes
31002,wave/2 GU10-LED white/chrome 'BIMEDA',Сијалици,2.51,Yes
31003,G-form/3 GU10-LED white/chrome 'BIMEDA',Сијалици,3.91,Yes
31004,wave/4 GU10-LED white/chrome 'BIMEDA',Сијалици,4.47,Yes
31005,WL/1 black-chrome/chrome 'BIMEDA',Внатрешно осветлување,1.12,Yes
31006,wave/2 black-chrome/chrome 'BIMEDA',Сијалици,2.25,Yes
31007,G-form/3 GU10-LED NN/chrome 'BIMEDA',Сијалици,4.04,Yes
31008,wave/4 black-chrome/chrome 'BIMEDA',Сијалици,4.49,Yes
31016,WL/1 E27 WEISS/CHROM 'DOLLY',Внатрешно осветлување,1.68,Yes
31031,LED-STL/TL/DL-PANEL 300X300 PHOTO LAMP,Внатрешно осветлување,6399.01,Yes
31032,LED-STL/TL/DL-PANEL 450X450 PHOTO LAMP,Внатрешно осветлување,10001.38,Yes
31033,LED-STL/TL/DL-PANEL 595X595 PHOTO LAMP,Внатрешно осветлување,14094.88,Yes
31034,LED-STL/TL/DL-PANEL 1200X300 PHOTO LAMP,Внатрешно осветлување,14657.05,Yes
31043,FOTOLAMPEN AUFSTELLER 300X300 WEISS,,444.46,Yes
31044,FOTOLAMPEN AUFSTELLER 450X450 WEISS,,580.44,Yes
31045,FOTOLAMPEN AUFSTELLER 595X595 WEISS,,878.77,Yes
31046,FOTOLAMPEN AUFSTELLER 300X1200 WEISS,,1311.06,Yes
31047,FOTOLAMPEN AUFSTELLER 1200X300 WEISS,,635.23,Yes
31073,HL/1 E27 black 'CALARI',Внатрешно осветлување,1.25,Yes
31075,HL/1 E27 SCHWARZ/MS-MATT 'CALARI',Внатрешно осветлување,1083.75,Yes
31088,WL/1 E27 WEISS/WEISS 'DOLLY',Внатрешно осветлување,1.39,Yes
